"종목코드","종목명","잔고구분","잔고수량","매입가","현재가","전일비","","등락률","평가금액","평가손익","손익률(%)","매수일","대출금액","대출일","대출만기","대출유형",
"A000100","유한양행","일반","1","86,900","83,200","▲","700","0.85","83,200","-3,700","-4.26%","","0","","","",
"A000120","CJ대한통운","일반","2","75,450","75,500","▲","1,500","2.03","151,000","100","0.07%","","0","","","",
"A002310","아세아제지","일반","10","7,780","7,810","▲","10","0.13","78,100","300","0.39%","","0","","","",
"A003960","사조대림","일반","3","32,750","31,400","  ","0","0.00","94,200","-4,050","-4.12%","","0","","","",
"A005090","SGC에너지","일반","2","57,550","63,500","▲","1,700","2.75","127,000","11,900","10.34%","","0","","","",
"A005610","삼립","일반","3","40,367","40,950","▲","1,350","3.41","122,850","1,750","1.45%","","0","","","",
"A006360","GS건설","일반","2","34,200","34,450","▼","-1,250","-3.50","68,900","500","0.73%","","0","","","",
"A007070","GS리테일","일반","3","27,350","27,600","▲","850","3.18","82,800","750","0.91%","","0","","","",
"A008490","서흥","일반","4","29,338","26,050","▼","-1,250","-4.58","104,200","-13,150","-11.21%","","0","","","",
"A008730","율촌화학","일반","3","14,990","14,920","▲","290","1.98","44,760","-210","-0.47%","","0","","","",
"A009240","한샘","일반","2","42,300","39,850","▲","1,800","4.73","79,700","-4,900","-5.79%","","0","","","",
"A013580","계룡건설","일반","3","21,200","20,750","▼","-200","-0.95","62,250","-1,350","-2.12%","","0","","","",
"A014620","성광벤드","일반","4","27,019","26,100","▼","-650","-2.43","104,400","-3,676","-3.40%","","0","","","",
"A025540","한국단자","일반","2","63,400","63,400","▼","-600","-0.94","126,800","0","0.00%","","0","","","",
"A031430","신세계인터내셔날","일반","13","11,235","10,740","▲","80","0.75","139,620","-6,430","-4.40%","","0","","","",
"A035900","JYP Ent.","일반","3","47,400","40,850","  ","0","0.00","122,550","-19,650","-13.82%","","0","","","",
"A036460","한국가스공사","일반","3","35,361","36,400","▲","500","1.39","109,200","3,116","2.94%","","0","","","",
"A079430","현대리바트","일반","15","5,890","5,970","▲","60","1.02","89,550","1,200","1.36%","","0","","","",
"A081660","미스토홀딩스","일반","2","43,984","42,450","▼","-450","-1.05","84,900","-3,067","-3.49%","","0","","","",
"A095570","AJ네트웍스","일반","12","4,520","4,485","▲","65","1.47","53,820","-420","-0.77%","","0","","","",
"A097950","CJ제일제당","일반","2","195,700","186,000","▲","3,500","1.92","372,000","-19,400","-4.96%","","0","","","",
"A099190","아이센스","일반","3","18,350","18,200","▼","-160","-0.87","54,600","-450","-0.82%","","0","","","",
"A101530","해태제과식품","일반","8","5,710","5,940","▲","250","4.39","47,520","1,840","4.03%","","0","","","",
"A111770","영원무역","일반","1","89,500","85,400","▲","700","0.83","85,400","-4,100","-4.58%","","0","","","",
"A138040","메리츠금융지주","일반","1","122,600","115,100","▼","-3,500","-2.95","115,100","-7,500","-6.12%","","0","","","",
"A139480","이마트","일반","1","80,800","77,900","▼","-200","-0.26","77,900","-2,900","-3.59%","","0","","","",
"A185750","종근당","일반","2","71,600","67,900","▼","-300","-0.44","135,800","-7,400","-5.17%","","0","","","",
"A195940","HK이노엔","일반","1","41,750","41,150","  ","0","0.00","41,150","-600","-1.44%","","0","","","",
"A222800","심텍","일반","1","123,100","108,500","▲","2,700","2.55","108,500","-14,600","-11.86%","","0","","","",
"A226400","오스테오닉","일반","10","4,950","4,735","▼","-30","-0.63","47,350","-2,150","-4.34%","","0","","","",
"A234080","JW생명과학","일반","3","11,290","11,510","▲","70","0.61","34,530","660","1.95%","","0","","","",
"A257720","실리콘투","일반","2","46,050","43,650","▲","2,850","6.99","87,300","-4,800","-5.21%","","0","","","",
"A271560","오리온","일반","1","132,200","134,300","▲","2,500","1.90","134,300","2,100","1.59%","","0","","","",
"A272450","진에어","일반","10","5,370","5,270","▼","-20","-0.38","52,700","-1,000","-1.86%","","0","","","",
"A272550","삼양패키징","일반","8","9,826","9,890","  ","0","0.00","79,120","510","0.65%","","0","","","",
"A298540","더네이쳐홀딩스","일반","7","6,870","6,710","▲","80","1.21","46,970","-1,120","-2.33%","","0","","","",
"A300720","한일시멘트","일반","4","14,770","14,690","▲","150","1.03","58,760","-320","-0.54%","","0","","","",
"A316140","우리금융지주","일반","2","33,250","33,550","▲","250","0.75","67,100","600","0.90%","","0","","","",
"A323410","카카오뱅크","일반","3","21,750","22,150","  ","0","0.00","66,450","1,200","1.84%","","0","","","",
"A344820","KCC글라스","일반","2","24,850","24,800","▲","300","1.22","49,600","-100","-0.20%","","0","","","",
"A460860","동국제강","일반","5","9,831","9,760","▲","90","0.93","48,800","-355","-0.72%","","0","","","",
